,CDFX Samples
375,3.4540000000000006
376,0.0
377,0.6618156843109718
378,3.832
379,0.0
380,0.6363961030678927
381,2.8360000000000003
382,0.0
383,2.0680000000000005
384,0.0
385,0.0
386,2.128
387,3.5200000000000005
388,0.7974960814950754
389,0.6172519744804386
390,0.3416138170507744
391,3.5500000000000007
392,0.0
393,2.1519999999999992
394,0.0
395,0.4235563716909474
396,3.364
397,0.7489993324429601
398,3.3280000000000003
399,0.0
400,2.7640000000000002
401,0.0
402,0.0
403,0.0
404,3.808
405,2.782
406,3.178
407,0.5094114250780011
408,3.88
409,3.4720000000000004
410,3.8979999999999997
411,0.44933283877321945
412,0.0
413,0.0
414,3.5440000000000005
415,3.886
416,0.0
417,0.6752777206453653
418,0.0
419,2.032
420,2.686
421,0.0
422,3.322
423,0.0
424,0.0
425,0.0
426,0.8608135686662938
427,0.4028647415696737
428,2.8480000000000008
429,0.0
430,3.0459999999999994
431,0.5531726674375732
432,0.8360621986431392
433,0.0
434,0.5770615218501404
435,0.0
436,0.0
437,0.0
438,0.0
439,0.848528137423857
440,3.37
441,0.13813037319865606
442,0.4291852746774987
443,2.0200000000000005
444,0.6884765791223402
445,0.0
446,3.388
447,2.782
448,0.726636084983398
449,2.308
450,0.0
451,0.7368853370776215
452,2.2119999999999997
453,0.0
454,2.29
455,0.7784600182411426
456,2.518
457,0.8608135686662938
458,0.0
459,0.8179242018671412
460,3.442
461,0.7469939758793239
462,0.1697939928266015
463,0.36124783736376886
464,0.0
465,3.208
466,0.7078135347674556
467,2.992
468,0.0
469,3.0459999999999994
470,0.4631414470763764
471,0.0
472,0.5639148871948674
473,0.2908607914449797
474,0.0
475,0.2908607914449797
476,0.8694826047713663
477,3.208
478,2.2539999999999996
479,0.4496665431183423
480,0.7489993324429601
481,0.0
482,0.0
483,0.0
484,2.026
485,0.0
486,3.5440000000000005
487,0.0
488,0.0
489,0.7569676347110225
490,2.0500000000000007
491,0.6572670690061992
492,0.0
493,0.7307530362578044
494,0.923038460737146
495,0.0
496,0.0
497,0.996493853468249
498,0.6363961030678927
499,0.0
500,2.944
501,0.34899856733230294
502,0.0
503,2.1579999999999995
504,0.8831760866327847
505,0.0
506,2.734
507,0.0
508,0.0
509,0.6730527468185535
510,0.8949860334105779
511,2.1819999999999995
512,2.878
513,0.0
514,0.6819090848492928
515,0.6220932405998316
516,3.04
517,0.0
518,3.7119999999999997
519,0.0
520,0.3686461718233352
521,0.0
522,0.6074537019394977
523,0.0
524,3.034
525,0.7687652437513027
526,0.0
527,0.0
528,2.926
529,0.0
530,0.9828529900244491
531,3.9699999999999998
532,0.0
533,0.5822370651203855
534,0.0
535,2.4640000000000004
536,0.0
537,2.0500000000000007
538,0.2092844953645635
539,0.0
540,0.6884765791223402
541,2.6799999999999997
542,3.766
543,2.758
544,0.10761040841851684
545,3.88
546,2.2359999999999998
547,0.5132250968142537
548,3.862
549,0.6819090848492928
550,0.7429670248402684
551,0.41170377700477806
552,0.6434283176858165
553,3.88
554,0.5744562646538028
555,0.9343446901438462
556,0.0
557,0.0
558,0.8105553651663778
559,0.4446346815083142
560,2.542
561,3.0220000000000002
562,0.8360621986431392
563,0.9471008394041259
564,2.74
565,0.7880355321938218
566,2.6319999999999997
567,3.7720000000000002
568,2.338
569,0.0
570,2.71
571,2.644
572,3.9640000000000004
573,0.0
574,0.6685805860178711
575,0.8432081593533117
576,0.0
577,0.0
578,0.8590692637965812
579,3.4480000000000004
580,0.0
581,0.0
582,0.8865664103720601
583,2.872
584,0.0
585,0.6572670690061992
586,0.0
587,0.0
588,0.6363961030678927
589,0.34205262752974136
590,3.8200000000000003
591,3.5680000000000005
592,2.074
593,0.8677557259966655
594,2.1579999999999995
595,3.1479999999999997
596,0.0
597,0.0
598,3.5860000000000003
599,0.0
600,0.0
601,0.0
602,0.0
603,3.5680000000000005
604,0.5558776843874919
605,3.0939999999999994
606,3.184
607,0.945515732285825
608,0.6992853494818835
609,0.3515679166249389
610,3.8739999999999997
611,0.3524202037341219
612,0.9581231653602786
613,0.0
614,0.0
615,0.5692099788303083
616,3.9219999999999997
617,3.2620000000000005
618,0.0
619,0.0
620,2.1519999999999992
621,0.7183313998427189
622,2.3680000000000003
623,3.8979999999999997
624,0.0
625,2.5359999999999996
626,2.5300000000000002
627,3.7359999999999998
628,2.734
629,0.9246621004453465
630,0.0
631,3.202
632,3.04
633,2.2779999999999996
634,0.7569676347110225
635,0.5504543577809154
636,0.19672315572906002
637,2.0980000000000008
638,3.5440000000000005
639,0.0
640,0.0
641,2.0200000000000005
642,0.6434283176858165
643,0.9565563234854496
644,2.1819999999999995
645,0.30789608636681304
646,0.4650806381693394
647,0.38768543949960255
648,0.6906518659932803
649,0.19748417658131498
650,2.7940000000000005
651,0.6316644678941503
652,0.9165151389911681
653,0.0
654,0.0
655,0.0
656,2.2059999999999995
657,2.9979999999999993
658,0.0
659,0.9
660,3.418
661,0.705691150575094
662,0.7648529270389177
663,0.5639148871948674
664,0.8068457101577724
665,3.718
666,0.0
667,0.0
668,0.24062418831031931
669,0.0
670,0.0
671,2.668
672,3.37
673,0.0
674,0.3438022687534217
675,0.9181503144910425
676,0.7014271166700072
677,2.716
678,0.0
679,2.314
680,0.7842193570679061
681,2.572
682,2.9139999999999997
683,0.862554346113913
684,2.8420000000000005
685,0.0
686,0.6906518659932803
687,0.6549809157525125
688,0.8197560612767679
689,0.7707139547199078
690,2.356
691,0.7409453421137081
692,0.0
693,3.0999999999999996
694,3.862
695,3.814
696,0.0
697,3.208
698,0.16837458240482736
699,0.0
700,0.0
701,0.6685805860178711
702,0.0
703,0.9391485505499116
704,0.6572670690061992
705,3.178
706,3.154
707,0.7880355321938218
708,0.0
709,2.9619999999999997
710,0.0
711,0.0
712,2.0980000000000008
713,0.0
714,3.5920000000000005
715,2.5120000000000005
716,0.997997995989972
717,0.705691150575094
718,2.7700000000000005
719,2.17
720,0.0
721,0.0
722,0.0
723,3.694
724,2.0020000000000007
725,0.7509993342207435
726,0.0
727,3.4540000000000006
728,0.0
729,0.0
730,0.987420882906575
731,0.6123724356957945
732,3.88
733,2.0500000000000007
734,0.0
735,0.6244997998398398
736,2.8600000000000003
737,0.0
738,0.0
739,3.79
740,2.3019999999999996
741,3.8680000000000003
742,0.0
743,0.0
744,3.4060000000000006
745,0.8520563361656317
746,2.3019999999999996
747,0.35327043465311386
748,2.1160000000000005
749,0.9486832980505138
750,0.31464265445104544
751,2.0980000000000008
752,0.0
753,0.5612486080160912
754,0.0
755,0.7974960814950754
756,0.5236410984634419
757,2.8420000000000005
758,2.8600000000000003
759,2.7220000000000004
760,3.184
761,3.3280000000000003
762,0.0
763,0.0
764,0.8983317872590283
765,0.44899888641287294
766,3.67
767,0.0
768,0.6774953874381728
769,0.4796873982084583
770,2.404
771,0.0
772,2.1160000000000005
773,0.34899856733230294
774,0.0
775,0.7784600182411426
776,0.6663332499583072
777,2.9559999999999995
778,0.8432081593533117
779,0.0
780,2.2059999999999995
781,3.6399999999999997
782,0.7861297602813418
783,0.999499874937461
784,0.4436214602563767
785,2.7279999999999998
786,2.1399999999999997
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,3.0700000000000003
793,2.38
794,2.5060000000000002
795,0.6220932405998316
796,2.8120000000000003
797,0.9082951062292476
798,0.0
799,2.8600000000000003
800,2.7940000000000005
801,0.5299056519796708
802,0.0
803,0.0
804,0.9705668446840743
805,2.0140000000000002
806,0.9612491872558332
807,0.8087026647662292
808,0.0
809,0.0
810,0.0
811,0.0
812,0.7993747556684537
813,0.0
814,0.0
815,0.0
816,0.0
817,0.8865664103720601
818,0.0
819,3.8739999999999997
820,2.968
821,0.7409453421137081
822,2.806
823,3.46
824,3.5680000000000005
825,0.9549869109050657
826,0.0
827,0.7348469228349535
828,0.697137002317335
829,0.31416556144810015
830,0.9690201236300514
831,2.776
832,0.0
833,3.7059999999999995
834,3.8739999999999997
835,0.0
836,0.0
837,2.1879999999999997
838,0.0
839,0.9934787365615835
840,0.0
841,0.5184592558726288
842,0.8797726979169108
843,2.566
844,0.9033271832508972
845,2.17
846,2.26
847,3.442
848,0.0
849,0.8467585252006619
850,0.0
851,0.0
852,3.0999999999999996
853,0.2467792535850613
854,0.0
855,0.6123724356957945
856,0.9262828941527528
857,0.997997995989972
858,0.0
859,0.0
860,0.0
861,0.2056696380120313
862,0.0
863,0.9327379053088815
864,0.4730750469005948
865,0.6640783086353597
866,0.0
867,0.0
868,0.6340346993658943
869,0.6363961030678927
870,0.0
871,0.0
872,0.0
873,0.7726577508832743
874,0.776530746332687
875,0.5474486277268398
876,0.9423375191511797
877,3.628
878,2.1639999999999997
879,3.6160000000000005
880,0.7589466384404111
881,3.0759999999999996
882,2.74
883,0.6196773353931867
884,0.0
885,0.0
886,0.9518403227432635
887,3.8680000000000003
888,3.532
889,0.11489125293076058
890,0.9612491872558332
891,0.5477225575051662
892,2.0140000000000002
893,3.3100000000000005
894,3.202
895,3.7779999999999996
896,2.41
897,0.8712060605849801
898,0.0
899,0.9327379053088815
900,2.29
901,0.697137002317335
902,0.0
903,0.0
904,0.9115920140062659
905,0.0
906,2.242
907,0.0
908,0.9797958971132712
909,0.7803845206050668
910,0.9486832980505138
911,2.5780000000000003
912,0.0
913,0.0
914,3.058
915,3.16
916,0.0
917,3.7720000000000002
918,2.4879999999999995
919,0.0
920,2.122
921,0.0
922,0.41821047332652966
923,2.926
924,0.0
925,0.848528137423857
926,0.0
927,0.5173006862551025
928,3.76
929,3.292
930,0.0
931,3.67
932,2.122
933,2.9799999999999995
934,0.0
935,0.0
936,0.0
937,0.45825756949558405
938,0.8068457101577724
939,2.524
940,0.9797958971132712
941,0.8831760866327847
942,2.9319999999999995
943,3.628
944,4.0
945,0.25865034312755125
946,0.5424942396007537
947,2.3680000000000003
948,2.5839999999999996
949,0.0
950,0.6928203230275509
951,0.7014271166700072
952,0.0
953,0.0
954,2.4399999999999995
955,2.758
956,0.3468429039204925
957,3.184
958,0.9612491872558332
959,3.532
960,0.9889388252060892
961,0.0
962,0.0
963,0.0
964,0.3670149860700514
965,3.5140000000000002
966,0.7328028384224504
967,2.3439999999999994
968,3.184
969,0.0
970,0.5117616632769595
971,0.49809637621649083
972,0.25748786379167465
973,0.0
974,0.0
975,0.6595452979136459
976,3.4000000000000004
977,3.9399999999999995
978,0.8573214099741123
979,0.9934787365615835
980,0.0
981,0.0
982,2.8899999999999997
983,2.83
984,0.6410928169929843
985,0.8949860334105779
986,0.0
987,0.0
988,0.9423375191511797
989,3.5920000000000005
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,3.91
996,3.7299999999999995
997,0.0
998,3.178
999,0.9407443861113389
